Study Title,Year of Publication,Author,Study Sample,Comparison Groups,Blinding,Primary Outcome,Primary Outcome Results,Conclusion,GPT Summary,Study URL
"Panitumumab vs Bevacizumab Added to Standard First-line Chemotherapy and Overall Survival Among Patients With RAS Wild-type, Left-Sided Metastatic Colorectal Cancer: A Randomized Clinical Trial.",2023,Jun Watanabe et al.,823,Panitumumab vs Bevacizumab,Unspecified,Overall survival,"Median overall survival was 37.9 months with panitumumab vs 34.3 months with bevacizumab in participants with left-sided tumors (hazard ratio [HR] for death, 0.82; 95.798% CI, 0.68-0.99; P = .03) and 36.2 vs 31.3 months, respectively, in the overall population (HR, 0.84; 95% CI, 0.72-0.98; P = .03).",Adding panitumumab to standard first-line chemotherapy significantly improved overall survival in those with left-sided tumors and in the overall population.,"This randomized, open-label, phase 3 clinical trial conducted at 197 sites in Japan among 823 patients with chemotherapy-naive RAS wild-type, unresectable metastatic colorectal cancer compared the effects of adding panitumumab (an anti-EGFR monoclonal antibody) vs bevacizumab (an anti-VEGF monoclonal antibody) to standard first-line chemotherapy. The study found that overall survival was significantly improved with panitumumab compared to bevacizumab in both left-sided tumors (hazard ratio [HR] for death, 0.82; 95.798% CI, 0.68-0.99; P = .03) and the overall population (HR, 0.84; 95% CI, 0.72-0.98; P = .03).",https://pubmed.ncbi.nlm.nih.gov/pubmed/37071094
Coordinated Care to Optimize Cardiovascular Preventive Therapies in Type 2 Diabetes: A Randomized Clinical Trial.,2023,Neha J Pagidipati et al.,1049,Intervention vs Usual Care,Unspecified,Proportion of participants prescribed all 3 groups of recommended therapies at 6 to 12 months after enrollment,"Intervention group (37.9%) vs Usual Care group (14.5%), a difference of 23.4% (adjusted odds ratio [OR], 4.38 [95% CI, 2.49 to 7.71]; P < .001)","A coordinated, multifaceted intervention increased prescription of 3 groups of evidence-based therapies in adults with type 2 diabetes and atherosclerotic cardiovascular disease.","This was a cluster randomized clinical trial with 43 US cardiology clinics that recruited 1049 adults with type 2 diabetes and atherosclerotic cardiovascular disease. The intervention group (n=459) received assessment, education, and feedback while the usual care group (n=590) received care per practice guidelines. Results showed that the intervention group was more likely to be prescribed all 3 therapies (37.9%) compared to the usual care group (14.5%), a difference of 23.4%. The intervention was not associated with changes in atherosclerotic cardiovascular disease risk factors.",https://pubmed.ncbi.nlm.nih.gov/pubmed/36877177
Inflammation and cholesterol as predictors of cardiovascular events among patients receiving statin therapy: a collaborative analysis of three randomised trials.,2023,Paul M Ridker et al.,"31,245",None,Unspecified,Risk of future cardiovascular events and death,"Residual inflammatory risk was significantly associated with incident major adverse cardiovascular events (highest high-sensitivity CRP quartile vs lowest high-sensitivity CRP quartile, adjusted HR 1·31, 95% CI 1·20-1·43; p<0·0001), cardiovascular mortality (2·68, 2·22-3·23; p<0·0001), and all-cause mortality (2·42, 2·12-2·77; p<0·0001). Residual cholesterol risk was neutral for major adverse cardiovascular events (highest LDLC quartile vs lowest LDLC quartile, adjusted HR 1·07, 95% CI 0·98-1·17; p=0·11), and of low magnitude for cardiovascular death (1·27, 1·07-1·50; p=0·0086) and all-cause death (1·16, 1·03-1·32; p=0·025).","Inflammation was a stronger predictor for risk of future cardiovascular events and death than cholesterol among patients receiving contemporary statins, suggesting that combined use of aggressive lipid-lowering and inflammation-inhibiting therapies might be needed to further reduce atherosclerotic risk.","This was an unspecified blinded study of 31,245 patients with or at high risk of atherosclerotic disease receiving contemporary statins. The primary outcome was risk of future cardiovascular events and death. The results showed that inflammation assessed by high-sensitivity CRP was a stronger predictor for risk of future cardiovascular events and death than cholesterol assessed by LDLC (adjusted HR 1·31, 95% CI 1·20-1·43; p<0·0001 for major adverse cardiovascular events, 2·68, 2·22-3·23; p<0·0001 for cardiovascular mortality, and 2·42, 2·12-2·77; p<0·0001 for all-cause mortality). These findings suggest that combined use of aggressive lipid-lowering and inflammation-inhibiting therapies might be needed to further reduce atherosclerotic risk.",https://pubmed.ncbi.nlm.nih.gov/pubmed/36893777
Effect of Donor Sex on Recipient Mortality in Transfusion.,2023,Michaël Chassé et al.,8719,Male Donor Group vs Female Donor Group,Unspecified,Survival,"1141 patients in the female donor group and 1712 patients in the male donor group died; adjusted hazard ratio for death was 0.98 (95% CI, 0.91 to 1.06).",No significant difference in survival between a transfusion strategy involving red-cell units from female donors and a strategy involving red-cell units from male donors.,"40 ratio. The primary outcome was survival, with the male donor group as the reference group. Results showed no significant difference in survival between the two groups, with 1141 patients in the female donor group and 1712 patients in the male donor group dying and an adjusted hazard ratio for death of 0.98 (95% CI, 0.91 to 1.06).",https://pubmed.ncbi.nlm.nih.gov/pubmed/37043654
Dersimelagon in Erythropoietic Protoporphyrias.,2023,Manisha Balwani et al.,102,Placebo vs. 100mg Dersimelagon vs. 300mg Dersimelagon,Unspecified,Change from baseline to week 16 in time to first prodromal symptom associated with sunlight exposure,Least-squares mean difference from placebo in change from baseline to week 16 was 53.8 minutes in the 100-mg dersimelagon group (P = 0.008) and 62.5 minutes in the 300-mg dersimelagon group (P = 0.003),Dersimelagon significantly increased the duration of symptom-free sunlight exposure in patients with erythropoietic protoporphyria or X-linked protoporphyria.,"1 ratio to receive placebo or dersimelagon at a dose of 100 or 300 mg once daily for 16 weeks. The primary end point was the change from baseline to week 16 in the time to the first prodromal symptom associated with sunlight exposure. Results showed that the mean daily time to the first prodromal symptom associated with sunlight exposure increased significantly with dersimelagon, with the least-squares mean difference from placebo in the change from baseline to week 16 being 53.8 minutes in the 100-mg dersimelagon group (P = 0.008) and 62.5 minutes in the 300-mg dersimelagon group (P = 0.003).",https://pubmed.ncbi.nlm.nih.gov/pubmed/37043653
Tranexamic Acid to Prevent Obstetrical Hemorrhage after Cesarean Delivery.,2023,Luis D Pacheco et al.,"11,000",Tranexamic Acid vs Placebo,Unspecified,Composite of maternal death or blood transfusion by hospital discharge or 7 days post partum,"3.6% in the tranexamic acid group and 4.3% in the placebo group (adjusted relative risk, 0.89; 95.26% confidence interval [CI], 0.74 to 1.07; P = 0.19)",Prophylactic use of tranexamic acid during cesarean delivery did not lead to a significantly lower risk of a composite outcome of maternal death or blood transfusion than placebo.,"This randomized clinical trial of 11,000 participants with unspecified blinding compared the use of tranexamic acid to placebo for cesarean delivery. The primary outcome was a composite of maternal death or blood transfusion by hospital discharge or 7 days post partum. The results showed that 3.6% of the tranexamic acid group and 4.3% of the placebo group experienced the primary outcome (adjusted relative risk, 0.89; 95.26% confidence interval [CI], 0.74 to 1.07; P = 0.19).",https://pubmed.ncbi.nlm.nih.gov/pubmed/37043652
Bempedoic Acid and Cardiovascular Outcomes in Statin-Intolerant Patients.,2023,Steven E Nissen et al.,"13,970",Bempedoic acid vs. placebo,Double-blind,"Major adverse cardiovascular events (death from cardiovascular causes, nonfatal myocardial infarction, nonfatal stroke, or coronary revascularization)","Incidence of primary end-point event was significantly lower with bempedoic acid than with placebo (11.7% vs. 13.3%; hazard ratio, 0.87; 95% confidence interval [CI], 0.79 to 0.96; P = 0.004)",Treatment with bempedoic acid was associated with a lower risk of major adverse cardiovascular events.,"This double-blind, randomized, placebo-controlled trial included 13,970 statin-intolerant patients at risk for cardiovascular disease. Patients were assigned to receive oral bempedoic acid (180 mg daily) or placebo. Results showed that the incidence of major adverse cardiovascular events was significantly lower with bempedoic acid than with placebo (11.7% vs. 13.3%; hazard ratio, 0.87; 95% confidence interval [CI], 0.79 to 0.96; P = 0.004).",https://pubmed.ncbi.nlm.nih.gov/pubmed/36876740
Heterogeneity in Blood Pressure Response to 4 Antihypertensive Drugs: A Randomized Clinical Trial.,2023,Johan Sundström et al.,280,"Lisinopril vs Hydrochlorothiazide, Lisinopril vs Amlodipine, Candesartan vs Hydrochlorothiazide, Candesartan vs Amlodipine",Unspecified,Ambulatory daytime systolic blood pressure,"Blood pressure response to different treatments varied considerably between individuals (P < .001), with an additional 4.4 mm Hg-lower systolic blood pressure on average.","Blood pressure response to drug therapy for hypertension varies significantly between individuals, which may have implications for personalized therapy.","This randomized, double-blind, repeated crossover trial of 280 men and women with grade 1 hypertension at low risk for cardiovascular events in Sweden found that blood pressure response to drug therapy for hypertension varies significantly between individuals, with an additional 4.4 mm Hg-lower systolic blood pressure on average. This finding may have implications for personalized therapy.",https://pubmed.ncbi.nlm.nih.gov/pubmed/37039792
Effect of Angiotensin-Converting Enzyme Inhibitor and Angiotensin Receptor Blocker Initiation on Organ Support-Free Days in Patients Hospitalized With COVID-19: A Randomized Clinical Trial.,2023,Writing Committee for the REMAP-CAP Investigators et al.,721 critically ill and 58 non-critically ill,ACE inhibitor vs ARB vs ARB + DMX-200 vs control,Unspecified,Organ support-free days,"Median organ support-free days of 10 (-1 to 16) for ACE inhibitor, 8 (-1 to 17) for ARB, and 12 (0 to 17) for control (median adjusted odds ratios of 0.77 [95% bayesian credible interval, 0.58-1.06] for improvement for ACE inhibitor and 0.76 [95% credible interval, 0.56-1.05] for ARB compared with control)","Initiation of an ACE inhibitor or ARB did not improve, and likely worsened, clinical outcomes in critically ill adults with COVID-19.","This randomized clinical trial of 779 hospitalized adults with COVID-19 (721 critically ill and 58 non-critically ill) with an unspecified study blinding examined the effects of initiating an ACE inhibitor or ARB on organ support-free days. The results showed that ACE inhibitors and ARBs did not improve, and likely worsened, clinical outcomes in critically ill adults with COVID-19 (median adjusted odds ratios of 0.77 [95% bayesian credible interval, 0.58-1.06] for improvement for ACE inhibitor and 0.76 [95% credible interval, 0.56-1.05] for ARB compared with control).",https://pubmed.ncbi.nlm.nih.gov/pubmed/37039790
"Etrasimod as induction and maintenance therapy for ulcerative colitis (ELEVATE): two randomised, double-blind, placebo-controlled, phase 3 studies.",2023,William J Sandborn et al.,821 (ELEVATE UC 52) and 606 (ELEVATE UC 12),Etrasimod 2 mg vs Placebo,Unspecified,Proportion of patients with clinical remission at weeks 12 and 52 in ELEVATE UC 52 and week 12 in ELEVATE UC 12,74 (27%) of 274 patients in the etrasimod group vs ten (7%) of 135 patients in the placebo group at completion of the 12-week induction period (p<0·0001); 88 (32%) of 274 patients in the etrasimod group vs nine (7%) of 135 patients in the placebo group at week 52 (p<0·0001); 55 (25%) of 222 patients in the etrasimod group had clinical remission compared with 17 (15%) of 112 patients in the placebo group at the end of the 12-week induction period (p=0·026),Etrasimod was effective and well tolerated as an induction and maintenance therapy in patients with moderately to severely active ulcerative colitis.,"This was a double-blind, placebo-controlled, phase 3 trial of 821 and 606 patients with moderately to severely active ulcerative colitis in ELEVATE UC 52 and ELEVATE UC 12, respectively, comparing etrasimod 2 mg to placebo. The primary outcome was the proportion of patients with clinical remission at weeks 12 and 52 in ELEVATE UC 52 and week 12 in ELEVATE UC 12. Results showed that etrasimod was effective and well tolerated, with 74 (27%) of 274 patients in the etrasimod group vs ten (7%) of 135 patients in the placebo group achieving clinical remission at completion of the 12-week induction period (p<0·0001).",https://pubmed.ncbi.nlm.nih.gov/pubmed/36871574
Postexposure Doxycycline to Prevent Bacterial Sexually Transmitted Infections.,2023,Anne F Luetkemeyer et al.,501,Doxycycline postexposure prophylaxis vs. Standard care,Unspecified,Incidence of at least one STI per follow-up quarter,"10.7% in the doxycycline group and 31.9% in the standard-care group, for an absolute difference of -21.2 percentage points and a relative risk of 0.34 (95% CI, 0.24 to 0.46; P<0.001)","Doxycycline postexposure prophylaxis was two thirds more effective than standard care in reducing the incidence of gonorrhea, chlamydia, and syphilis among MSM with recent bacterial STIs.","This open-label, randomized study of 501 MSM and transgender women found that doxycycline postexposure prophylaxis was two thirds more effective than standard care in reducing the incidence of gonorrhea, chlamydia, and syphilis, with an absolute difference of -21.2 percentage points and a relative risk of 0.34 (95% CI, 0.24 to 0.46; P<0.001).",https://pubmed.ncbi.nlm.nih.gov/pubmed/37018493
Trial of Endovascular Thrombectomy for Large Ischemic Strokes.,2023,Amrou Sarraj et al.,178 (thrombectomy group) vs 174 (medical-care group),Endovascular thrombectomy plus medical care vs medical care alone,Unspecified,"Modified Rankin Scale Score at 90 days (range 0-6, higher scores indicating greater disability)","20% of the patients in the thrombectomy group and 7% in the medical-care group had functional independence (relative risk, 2.97; 95% CI, 1.60 to 5.51)",Endovascular thrombectomy resulted in better functional outcomes than medical care but was associated with vascular complications.,"This prospective, randomized, open-label, adaptive, international trial (NCT03876457) with a sample size of 352 patients with large ischemic strokes found that endovascular thrombectomy plus medical care resulted in better functional outcomes than medical care alone (20% vs 7%, relative risk 2.97; 95% CI, 1.60 to 5.51). However, this was associated with vascular complications.",https://pubmed.ncbi.nlm.nih.gov/pubmed/36762865
Trial of Endovascular Therapy for Acute Ischemic Stroke with Large Infarct.,2023,Xiaochuan Huo et al.,456,Endovascular Therapy vs. Medical Management,Unspecified,"Score on the modified Rankin scale at 90 days (scores range from 0 to 6, with higher scores indicating greater disability)","Shift in the distribution of scores on the modified Rankin scale toward better outcomes was observed in favor of endovascular therapy over medical management alone (generalized odds ratio, 1.37; 95% confidence interval, 1.11 to 1.69; P = 0.004)",Patients with large cerebral infarctions had better outcomes with endovascular therapy administered within 24 hours than with medical management alone but had more intracranial hemorrhages.,"1 ratio to either endovascular therapy and receive medical management or to receive medical management alone. Results showed that endovascular therapy administered within 24 hours led to better outcomes on the modified Rankin scale at 90 days compared to medical management alone (generalized odds ratio, 1.37; 95% confidence interval, 1.11 to 1.69; P = 0.004), but with more intracranial hemorrhages.",https://pubmed.ncbi.nlm.nih.gov/pubmed/36762852
"Cut Calories, Lengthen Life Span? Randomized Trial Uncovers Evidence That Calorie Restriction Might Slow Aging, but Questions Remain.",2023,Rita Rubin.,218,Calorie restriction vs. Usual diet,Unspecified,Change in body weight,Calorie restriction resulted in an average weight loss of 7.7 kg (17 lbs) compared to a 0.4 kg (0.9 lbs) weight loss in the usual diet group,Calorie restriction resulted in significantly more weight loss than a usual diet.,"This was a 2-year clinical trial of 218 participants that compared the effects of calorie restriction versus a usual diet on body weight. Unspecified blinding was used. Calorie restriction resulted in an average weight loss of 7.7 kg (17 lbs) compared to a 0.4 kg (0.9 lbs) weight loss in the usual diet group, indicating that calorie restriction is a more effective way to lose weight.",https://pubmed.ncbi.nlm.nih.gov/pubmed/36920433
Treat-to-Target or High-Intensity Statin in Patients With Coronary Artery Disease: A Randomized Clinical Trial.,2023,Sung-Jin Hong et al.,4400,Treat-to-Target vs High-Intensity Statin,Unspecified,"3-year composite of death, myocardial infarction, stroke, or coronary revascularization","177 patients (8.1%) in the treat-to-target group and 190 patients (8.7%) in the high-intensity statin group (absolute difference, -0.6 percentage points [upper boundary of the 1-sided 97.5% CI, 1.1 percentage points]; P < .001 for noninferiority)","A treat-to-target LDL-C strategy of 50 to 70 mg/dL as the goal was noninferior to a high-intensity statin therapy for the 3-year composite of death, myocardial infarction, stroke, or coronary revascularization.","This randomized, multicenter, noninferiority trial in 4400 patients with coronary artery disease treated at 12 centers in South Korea compared a treat-to-target LDL-C strategy of 50 to 70 mg/dL as the goal with a high-intensity statin therapy for the 3-year composite of death, myocardial infarction, stroke, or coronary revascularization. The primary end point occurred in 177 patients (8.1%) in the treat-to-target group and 190 patients (8.7%) in the high-intensity statin group (absolute difference, -0.6 percentage points [upper boundary of the 1-sided 97.5% CI, 1.1 percentage points]; P < .001 for noninferiority).",https://pubmed.ncbi.nlm.nih.gov/pubmed/36877807
"Electronic nudges to increase influenza vaccination uptake in Denmark: a nationwide, pragmatic, registry-based, randomised implementation trial.",2023,Niklas Dyrby Johansen et al.,"964,870",Usual Care vs 9 different electronic letters,Unspecified,"Receipt of influenza vaccination on or before Jan 1, 2023",81.00% vs 80.12%; difference 0.89 percentage points (99.55% CI 0.29-1.48); p<0.0001,Electronically delivered letters highlighting potential cardiovascular benefits of influenza vaccination or sent again as a reminder significantly increased vaccination uptake across Denmark.,"This was a nationwide, registry-based, cluster-randomised implementation trial conducted in Denmark during the 2022-23 influenza season. The study included 964,870 individuals aged 65 years or older, excluding those living in nursing homes and those with an exemption from the Danish mandatory governmental electronic letter system. The primary outcome was receipt of influenza vaccination on or before Jan 1, 2023, and the results showed that electronic letters highlighting potential cardiovascular benefits of vaccination or sent again as a reminder significantly increased vaccination uptake (81.00% vs 80.12%; difference 0.89 percentage points; p<0.0001).",https://pubmed.ncbi.nlm.nih.gov/pubmed/36889332
